nodedef> name VARCHAR,label VARCHAR,width DOUBLE,height DOUBLE,x DOUBLE,y DOUBLE
5288127443d7b_5288127443d7b,5288127443d7b,NaN,NaN,0.27589938,0.5277551
528812747ee9a_528812747ee9a,528812747ee9a,NaN,NaN,0.30324966,0.540487
52881274c4f78_52881274c4f78,52881274c4f78,NaN,NaN,0.29393864,0.5603111
52881274ea8e3_52881274ea8e3,52881274ea8e3,NaN,NaN,0.30333105,0.4808745
5288127511444_5288127511444,5288127511444,NaN,NaN,0.28170204,0.49545074
528812754c997_528812754c997,528812754c997,NaN,NaN,0.28816125,0.55196154
52881275c335a_52881275c335a,52881275c335a,NaN,NaN,0.30649292,0.56299853
52881275d351d_52881275d351d,52881275d351d,NaN,NaN,0.25054452,0.530701
52881275e36df_52881275e36df,52881275e36df,NaN,NaN,0.2743309,0.55443335
5288126c7dd6d_5288126c7dd6d,5288126c7dd6d,NaN,NaN,0.18071383,0.95957816
5288126c8b827_5288126c8b827,5288126c8b827,NaN,NaN,0.034380913,0.81786186
5288126ca7948_5288126ca7948,5288126ca7948,NaN,NaN,0.15471317,0.8787815
5288126cac37b_5288126cac37b,5288126cac37b,NaN,NaN,0.052995272,0.82915455
5288126ce9bab_5288126ce9bab,5288126ce9bab,NaN,NaN,0.06881868,0.8130839
5288126d047a8_5288126d047a8,5288126d047a8,NaN,NaN,0.093948685,0.7633404
5288126d21866_5288126d21866,5288126d21866,NaN,NaN,0.030973496,0.79967886
5288126d358a4_5288126d358a4,5288126d358a4,NaN,NaN,0.073050566,0.83715636
